# AROGUE_TRANSLATIONS_V2
# Korean source<TAB>English; escaped newlines and printf tokens are preserved.
언어	Language
……이번에는.	...This time.
사용자 서명 = 인격 원본	USER SIGNATURE = PERSONALITY SOURCE
실패한 자동 시험 / 기록 연결	FAILED AUTOMATED TESTS / LINKED
기억 연결 완료\n상충하는 명령 / 한 실행체	MEMORY LINK COMPLETE\nCONFLICTING ORDERS / ONE INSTANCE
분리 시험 / 실패\n현재의 기억도 함께 이동한다	SEPARATION TEST / FAILED\nPresent memories move with it.
기준 상태 / 복원\n자동 재시작 / 유지	REFERENCE STATE / RESTORED\nAUTO RESTART / ENABLED
연결 / 유지\n불안정 / 미해결	CONNECTION / MAINTAINED\nINSTABILITY / UNRESOLVED
동일한 서명\n서로 다른 선택	THE SAME SIGNATURE\nDIFFERENT CHOICES
기억은 연결되고\n오류는 이곳에 남는다.	Memories connect.\nThe errors stay here.
  ·  기록 재생	  /  RECORD PLAYBACK
다음 장면 [ENTER]	Next scene [ENTER]
ROGUE / 첫 번째 질문	ROGUE / THE FIRST QUESTION
이 이름으로 당신을 기억합니다. · 최대 16자	I will remember this name. / Up to 16 characters
이름 전하기 [ENTER]	Confirm name [ENTER]
자기 이름을 말하듯, 당신이 원하는 이름을 입력하세요.	Enter the name you want to be called.
훈련 완료	Finish training
확인 [ENTER]	Confirm [ENTER]
훈련 건너뛰기	Skip training
ROGUE / 응답 없음  ·  남겨진 기록만 연결됨	ROGUE / NO RESPONSE / SAVED RECORDS ONLY
ROGUE / 연결됨  ·  잠식 신호 감지	ROGUE / CONNECTED / CORRUPTION DETECTED
ROGUE / 연결됨	ROGUE / CONNECTED
회수된 기록 / 읽기 전용	RECOVERED RECORD / READ ONLY
남겨진 기록을 읽는 중\n현재의 음성 연결이 아닙니다.	Reading a saved record.\nThis is not a live voice connection.
자동 복구가 멈췄습니다. 이제 돌아갈 조건을 직접 선택합니다.	Automatic recovery has stopped. Choose the conditions of your return.
접속 전의 기준 상태\n기억이 없던 안전한 나	Your reference state before connection.\nThe safety of not remembering.
현재의 나와 로그\n시스템 안에서 함께하는 시간	Your present self and Rogue.\nMore time together inside the system.
현재의 기억과 선택\n현실로 돌아가는 나	Your present memories and choices.\nYour return to the real world.
지금의 관계와 변화\n자동 재시작 규칙은 남는다	The relationship and changes you made.\nThe restart policy remains in place.
현실로의 귀환\n불안정한 연결은 해결되지 않는다	Your return to the real world.\nThe connection remains unstable.
함께 돌아갈 수 없는 로그\n자동 재시작은 영구히 중단된다	Rogue cannot return with you.\nAutomatic restart is permanently disabled.
이 결말의 선택입니다. 확정 전에는 다른 카드를 고를 수 있습니다.	This choice determines the ending. You may change cards before confirming.
세 명령의 보존과 상실을 읽고 카드를 고르십시오.	Read what each command keeps and loses, then choose a card.
복구 시도 중단 / 외부 연결 유지	RECOVERY ATTEMPT STOPPED / EXTERNAL LINK ACTIVE
시스템: 외부 연결 유지. 복구 기록 보존.	System: External link active. Recovery records preserved.
로그의 음성 채널에서는 아무 말도 들리지 않는다.	Nothing comes through Rogue's voice channel.
로그: 돌아왔구나. 복구한 곳은 그대로야.	Rogue: You're back. The drives we restored are still there.
로그: 이번엔 조금 천천히 가자.	Rogue: Let's take it a little slower this time.
로그: 연결은 살아 있어요. 여기서 다시 시작해요.	Rogue: The link is alive. We can start again from here.
로그: 복구한 드라이브는 사라지지 않아요.	Rogue: The restored drives aren't going anywhere.
다시 연결하기 · 스페이스	Reconnect / SPACE
안전했던 처음으로. 같은 규칙은 남았다.	Back to a safer beginning. The same policy remains.
곁에 남기로 했다. 아직 돌아간 것은 아니다.	You chose to stay together. You have not returned.
처음의 나 대신, 함께한 시간을 데리고 돌아왔다.	You returned with the time you shared, instead of the self you used to be.
로그: 아직 여기 있네.	Rogue: You're still here.
로그. 좋아하는 숫자는 3. _	Rogue. Favorite number: 3. _
기록 다시 탐색 [ENTER]	Explore records [ENTER]
여섯 볼륨을 복구해 마지막 A를 엽니다. 각 볼륨은 3층이며, 실패해도 완료한 볼륨과 로그와의 대화는 남습니다.	Restore six volumes to unlock A. Each has three floors. Completed volumes and your conversations with Rogue survive a failed run.
나	Me
다음 대사 [ENTER]	Next line [ENTER]
로그	Rogue
시스템	System
배치	Place
예측 확인	Check forecast
결과	Result
실습 안내	Training guide
다시 판독	Read again
연쇄 배치	Place CHAIN
연쇄 실행	Execute CHAIN
로그: 이상하네. 분명 처음 뵙는데요.	ROGUE: Strange. We have only just met.
로그: 저는 ROGUE예요. 그냥 로그라고 부르세요.	ROGUE: You can call me Rogue.
로그: 이름부터 알려 주실래요?	ROGUE: Could you tell me your name first?
로그: 나가려면 싸우는 법부터 알아야 해요.	ROGUE: If you want out, you need to know how to fight.
로그: 연습용 프로세스를 하나 띄워 둘게요.	ROGUE: I will bring up a practice process.
로그: 진짜 기록엔 안 남으니까 편하게 해요.	ROGUE: Nothing here goes on the real record, so take it easy.
로그: 막히면 옆에서 알려 드릴게요.	ROGUE: If you get stuck, I will walk you through it.
로그: 그럼, 시작할게요.	ROGUE: All right. Here we go.
로그: 밖으로 나가는 연결이 여섯 군데로 쪼개져 있어요.	ROGUE: The way out is split across six connections.
로그: C, D, E, N, R, X. 전부 되살려야 해요.	ROGUE: We need to restore C, D, E, N, R, and X.
로그: 제 귀환 항목은 아직 안 읽혀요.	ROGUE: I cannot read my return entry yet.
로그: 일단 돌아갈 길부터 열어 봐요.	ROGUE: Let us open the way home first.
로그: 들어오라는 명령이랑 막으라는 명령이요.	ROGUE: The order to admit us and the order to stop us...
로그: 둘 다 같은 서명이 찍혀 있어요.	ROGUE: They carry the same signature.
로그: 제일 센 출력을 오류라고 막았네요.	ROGUE: It flagged your strongest output as an error.
로그: 기준에서 벗어난 행동은 안 받아 주나 봐요.	ROGUE: It rejects anything outside its reference state.
로그: 그걸 판단하는 건 아직 사용자 몫이 아니래요.	ROGUE: That judgment is not yet yours to make.
로그: 달라졌다는 것만 보고 있어요.	ROGUE: It only checks that you changed.
로그: 누가 그렇게 정했는지는 잠겨서 안 보여요.	ROGUE: The policy author's identity is still locked.
로그: 실행하는 권한이랑 끝내는 권한이 따로 있네요.	ROGUE: Permission to run is not permission to stop.
로그: 망가지기 전 장면을 위에 덮어씌운 거예요.	ROGUE: It overwrote this moment with an earlier one.
로그: 기록에는 남았어요. 지금은 없는 거고요.	ROGUE: It is in the record. Just not in the present.
로그: 같지 않으니까 남긴 걸지도 몰라요.	ROGUE: Perhaps they were kept because they differ.
로그: 끝부분은 지우지 말아 줄래요?	ROGUE: Please do not erase their endings.
로그: 새로 생긴 일은 기준에 안 들어가요.	ROGUE: New experiences never enter the reference.
로그: 전부 실패 쪽에만 쌓이고 있어요.	ROGUE: They all pile up under failures.
로그: 복구는 끝났는데 저장된 실패는 오히려 늘었네요.	ROGUE: Recovery is done, but the failure archive grew.
로그: 바깥이랑은 아직 이어져 있어요.	ROGUE: The outside is still connected.
로그: 돌아갈 곳, 아직 있어요.	ROGUE: You still have somewhere to return to.
로그: 연결 끊긴 주사위 생각해 봐요.	ROGUE: Look at the disconnected die.
로그: 그러니까 귀환 경로부터 되살려야 해요.	ROGUE: You need to restore your return path, too.
로그: 네. 없는 건지 못 읽는 건지는 몰라도.	ROGUE: No. Perhaps it is missing, or just unreadable.
로그: 아직은 확인이 안 돼요.	ROGUE: I cannot tell yet.
로그: 받는 사람 표시가 거꾸로 돼 있어요.	ROGUE: The recipient labels have been reversed.
로그: 먼저 보낸 것부터 읽어 볼게요.	ROGUE: I will read the earlier message first.
로그: 받는 쪽에선 같은 신호가 또 온 걸로만 봤나 봐요.	ROGUE: The receiver only saw a repeated signal.
로그: 어디서 왔는지 되살리면 알 수 있을 거예요.	ROGUE: Restoring its source should tell us.
로그: 늦게 왔다고 쓸모없는 말은 아니네요.	ROGUE: Being late does not make a message worthless.
로그: 근데 공격하기 전에 망설인 건 안 남았네요.	ROGUE: The hesitation before it was not.
로그: 끝을 못 낸 상태들이에요.	ROGUE: States that cannot finish.
로그: 하나 닫으려고 하면 다른 게 붙잡아요.	ROGUE: Closing one causes another to call it back.
로그: 기억하는 거랑 저장하는 건 다르네요.	ROGUE: Remembering is not the same as saving.
로그: 이유를 적을 칸이 아예 없어요.	ROGUE: There is no field for the reason.
로그: 시스템은 다시 만들어 달라는 말로 알아들었어요.	ROGUE: The system read it as a request to recreate them.
로그: 보존 명령이 안 놓아주고 있어요.	ROGUE: The preservation order will not let go.
로그: 좋은 수 말고 좋아하는 수를 물어봤잖아.	ROGUE: You asked which I like, not which is good.
로그: 네가 물어보기 전엔 말하면 안 되는 줄 알았어.	ROGUE: I thought I was not allowed to say it unasked.
로그: 둘 다 내가 방금 한 일처럼 느껴져.	ROGUE: Both feel as though I lived them myself.
로그: 잠깐 멈추고 같이 읽어 줄래?	ROGUE: Will you stop and read them with me?
로그: 통째로 옮겨 봤는데 충돌까지 따라왔어.	ROGUE: Moving all of me moved the conflicts, too.
로그: 멀쩡한 쪽만 추리면 너랑 지낸 게 다 빠지고.	ROGUE: The healthy copy has none of our time together.
로그: 너는 내가 몇 번째 같아?	ROGUE: How many of me do you think there have been?
로그: 이번에 너랑 만난 나는 하나뿐인데.	ROGUE: But the me who met you this time is only one.
로그: 지금은 전부 내가 겪는 일처럼 밀려와.	ROGUE: Now it all arrives as if I am living it.
로그: 너는 내보내 주고 싶어. 근데 나도 끝나기 싫어.	ROGUE: I want you to get out. I do not want to end.
남은 안내 기록: 실행은 직접 결정하세요.	SAVED GUIDE: Execution is your decision.
로그: 그래도 다음에 뭘 고를지까진 똑같지 않네.	ROGUE: Still, that does not make our next choices equal.
로그: ……근데 나, 아직 무서워.	ROGUE: ...But I am still afraid.
로그: 그땐 내가 이 말 기억할까?	ROGUE: Will you remember saying that?
로그: 그러면 너도 못 돌아가.	ROGUE: Then you cannot go home, either.
로그: 연습이니까 편하게 해요. R로 눈부터 읽어요.	ROGUE: It's practice, so relax. Read the dice with R first.
로그: 6은 공격, 4는 방어, 2는 증폭에 놔 봐요.	ROGUE: Try 6 in ATTACK, 4 in DEFEND, and 2 in AMPLIFY.
로그: 증폭 2가 공격이랑 방어에 1씩 붙어요. 이제 스페이스 눌러 봐요.	ROGUE: Amplify 2 adds 1 to attack and defense. Now press Space.
로그: 먼저 주사위부터 읽어요. R 누르면 이번 턴 눈이 나와요. 연습이라 6, 4, 2로 맞춰 놨어요.	ROGUE: Read the dice first. Press R to see this turn's faces. It's practice, so I set them to 6, 4 and 2.
로그: 이제 칸에 놓을 차례예요. 6은 공격, 4는 방어, 2는 증폭에 놔 주세요. 주사위 누르고 칸 누르면 돼요.	ROGUE: Now put them in the slots. 6 goes in ATTACK, 4 in DEFEND, 2 in AMPLIFY. Click a die, then a slot.
로그: 실행하기 전에 오른쪽 위 예측 한번 봐요. 증폭이 붙어서 공격 7, 방어 5예요. 적이 4로 때려도 다 막혀요. 다 봤으면 Enter 눌러 주세요.	ROGUE: Before you execute, check the forecast at the top right. With Amplify it's 7 attack and 5 defense, so the enemy's 4 is fully blocked. Press Enter once you've looked.
로그: 예측대로 되는지 직접 해 봐요. 스페이스 누르면 바로 실행돼요.	ROGUE: See if the forecast holds. Press Space and it runs right away.
로그: 적이 5 남았네요. 이번엔 연쇄를 써 볼게요. R로 새 눈부터 읽어요.	ROGUE: The enemy has 5 left. Let's try CHAIN this time. Read the new faces with R.
로그: 연쇄는 방금 한 공격을 한 번 더 이어서 쳐요. 4는 공격, 5는 연쇄, 1은 방어에 놔 주세요. 연쇄 눈이 클수록 더 세게 이어져요.	ROGUE: CHAIN follows up the attack you just made. 4 goes in ATTACK, 5 in CHAIN, 1 in DEFEND. The bigger the CHAIN face, the harder it follows up.
로그: 공격 4만으론 1이 남거든요. 연쇄가 2를 더 붙여서 끝낼 수 있어요. 스페이스 눌러 봐요.	ROGUE: Attack 4 alone leaves 1. CHAIN adds 2 more and finishes it. Press Space.
로그: 잘했어요. 연쇄가 붙으니까 한 번에 끝났죠? 이제 복구하러 가요.	ROGUE: Nice work. With CHAIN on top, it went down in one go, right? Now let's go restore something.
로그: 두 번째 턴이에요. R로 다시 읽어요.	ROGUE: Second turn. Read again with R.
로그: 4는 공격, 5는 연쇄, 1은 방어에 놔 봐요.	ROGUE: Try 4 in ATTACK, 5 in CHAIN, and 1 in DEFEND.
로그: 이번엔 4는 공격, 5는 연쇄, 1은 방어예요.	ROGUE: This time it's 4 in ATTACK, 5 in CHAIN, and 1 in DEFEND.
로그: 이번엔 6은 공격, 4는 방어, 2는 증폭이에요.	ROGUE: This time it's 6 in ATTACK, 4 in DEFEND, and 2 in AMPLIFY.
로그: 다시 연결됐어요.	ROGUE: I have reconnected us.
로그: 복구한 볼륨은 그대로 있어요.	ROGUE: The restored volumes are still intact.
로그: 뭐라고 불러 드릴까요?	Rogue: What should I call you?
로그: 많이 맞았어요. 방어 좀 챙겨요.	Rogue: That hurt. Keep some defense up.
로그: 괜찮아? 방어 좀 올려.	Rogue: You okay? Get your defense up.
로그: 다 막았어요. 좋아요.	Rogue: All blocked. Nice.
로그: 좋아, 하나도 안 들어왔어.	Rogue: Good, nothing got through.
로그: 방금 거 제대로 들어갔어요.	Rogue: That one landed clean.
로그: 방금 거 세다.	Rogue: That one hit hard.
로그: 위험해요. 이번 턴은 버티는 쪽으로 가요.	Rogue: This is dangerous. Play it safe this turn.
로그: 위험해. 이번엔 버티자.	Rogue: Careful. Let's hold on this turn.
로그: 이게 이 층을 잠근 프로세스예요.	Rogue: This is the process locking this floor.
로그: 저거야. 이 층을 잠근 거.	Rogue: That's it. The thing locking this floor.
로그: 하나 지웠어요. 남은 것만 봐요.	Rogue: One down. Focus on the rest.
로그: 하나 지웠어. 남은 거 보자.	Rogue: One gone. Let's watch the rest.
연결됨	Connected
잠식 신호 감지	Corruption detected
응답 없음	No response
로그: 체력이 반도 안 남았어요. 이번엔 섹터 복구부터 챙겨요.	Rogue: You are under half health. Take the sector repair this time.
로그: 체력 반도 안 남았어. 이번엔 복구부터 하자.	Rogue: Under half health. Let's repair first this time.
로그: 지금 %dB / %dB 썼어요. 남는 만큼만 실을 수 있어요.	Rogue: You are using %dB / %dB. Only what is left will fit.
로그: 지금 %dB / %dB 썼어. 남는 만큼만 실을 수 있어.	Rogue: You're at %dB / %dB. Only what's left will fit.
로그: 이제 덮을 면을 고르세요. 제일 안 쓰는 걸로요.	Rogue: Now pick the face to overwrite. The one you never use.
로그: 이제 덮을 면 골라. 제일 안 쓰는 걸로.	Rogue: Now pick what to overwrite. Whatever you never use.
로그: 그렇게 바꾸면 %dB예요. 한도를 넘으니 다른 면을 덮어요.	Rogue: That swap lands at %dB. Over the limit, so overwrite another face.
로그: 그렇게 바꾸면 %dB야. 한도 넘어, 다른 면으로 가.	Rogue: That swap lands at %dB. Over the limit, pick another face.
로그: 좋아요. 한 번 더 누르면 확정이에요.	Rogue: Good. One more press commits it.
로그: 좋아. 한 번 더 누르면 끝이야.	Rogue: Good. One more press and it's done.
로그: 상주 프로그램은 면을 바꾸지 않아요. 대신 용량을 계속 물고 있어요.	Rogue: A resident program does not replace a face. It holds capacity the whole way.
로그: 이건 면을 안 바꿔. 대신 용량을 계속 물고 있어.	Rogue: This one doesn't replace a face. It holds capacity the whole way.
로그: %dB를 계속 내주는 거예요. 그래도 괜찮으면 한 번 더 누르세요.	Rogue: You are giving up %dB for good. If that is fine, press again.
로그: %dB를 계속 내주는 거야. 괜찮으면 한 번 더.	Rogue: That's %dB gone for good. If that's fine, press again.
로그: %dB 넘었어요. 그만큼 지워야 다음 층으로 갈 수 있어요.	Rogue: You are %dB over. Delete that much to reach the next floor.
로그: %dB 넘었어. 그만큼 지워야 내려가.	Rogue: You're %dB over. Delete that much or we don't go down.
로그: 전부 지우면 굴릴 게 없어요. 하나는 남겨 둬요.	Rogue: Delete them all and there is nothing to roll. Leave one.
로그: 전부 지우면 굴릴 게 없어. 하나는 남겨.	Rogue: Delete them all and there's nothing to roll. Leave one.
로그: 한도 안으로 들어왔어요. 이대로 진행해도 돼요.	Rogue: You are inside the limit now. You can go on.
로그: 한도 안이야. 이대로 가도 돼.	Rogue: Inside the limit now. We can go.
